STATIONS_ID;MESS_DATUM;QN_3;   F;   D;eor
722;2023050500;10;8.8;170;eor
722;2023050501;10;7.7;190;eor
722;2023050502;10;7.8;200;eor
722;2023050503;10;6.6;200;eor
722;2023050504;10;5.2;210;eor
722;2023050505;10;4.0;210;eor
722;2023050506;10;3.4;220;eor
722;2023050507;10;3.4;200;eor
722;2023050508;10;4.9;200;eor
722;2023050509;10;5.2;180;eor
722;2023050510;10;5.4;170;eor
722;2023050511;10;4.5;200;eor
722;2023050512;10;4.8;180;eor
722;2023050513;10;4.8;150;eor
722;2023050514;10;6.7;170;eor
722;2023050515;10;4.9;180;eor
722;2023050516;10;3.1;170;eor
722;2023050517;10;3.9;190;eor
722;2023050518;10;5.8;200;eor
722;2023050519;10;3.9;240;eor
722;2023050520;10;1.9;170;eor
722;2023050521;10;3.0;160;eor
722;2023050522;10;3.8;190;eor
722;2023050523;10;4.5;220;eor
722;2023050600;10;4.5;220;eor
722;2023050601;10;6.0;250;eor
722;2023050602;10;7.6;280;eor
722;2023050603;10;7.1;290;eor
722;2023050604;10;8.1;290;eor
722;2023050605;10;7.8;300;eor
722;2023050606;10;7.6;300;eor
722;2023050607;10;8.1;300;eor
722;2023050608;10;8.1;300;eor
722;2023050609;10;6.7;310;eor
722;2023050610;10;7.1;320;eor
722;2023050611;10;6.9;330;eor
722;2023050612;10;5.7;340;eor
722;2023050613;10;4.8;340;eor
722;2023050614;10;4.6;350;eor
722;2023050615;10;4.2;10;eor
722;2023050616;10;4.5;20;eor
722;2023050617;10;4.5;20;eor
722;2023050618;10;3.3;70;eor
722;2023050619;10;1.7;80;eor
722;2023050620;10;1.9;290;eor
722;2023050621;10;1.9;290;eor
722;2023050622;10;2.2;200;eor
722;2023050623;10;2.4;200;eor
722;2023050700;10;2.6;190;eor
722;2023050701;10;3.1;180;eor
722;2023050702;10;3.7;170;eor
722;2023050703;10;3.9;170;eor
722;2023050704;10;3.8;170;eor
722;2023050705;10;3.1;140;eor
722;2023050706;10;3.8;130;eor
722;2023050707;10;4.3;130;eor
722;2023050708;10;4.7;160;eor
722;2023050709;10;5.2;160;eor
722;2023050710;10;5.1;160;eor
722;2023050711;10;5.3;160;eor
722;2023050712;10;5.1;160;eor
722;2023050713;10;4.5;160;eor
722;2023050714;10;4.7;150;eor
722;2023050715;10;4.0;150;eor
722;2023050716;10;4.2;150;eor
722;2023050717;10;4.7;140;eor
722;2023050718;10;5.6;140;eor
722;2023050719;10;6.5;140;eor
722;2023050720;10;5.9;140;eor
722;2023050721;10;6.2;160;eor
722;2023050722;10;6.5;170;eor
722;2023050723;10;5.9;170;eor
722;2023050800;10;6.1;170;eor
722;2023050801;10;5.8;180;eor
722;2023050802;10;6.0;170;eor
722;2023050803;10;5.8;170;eor
722;2023050804;10;6.4;170;eor
722;2023050805;10;6.2;180;eor
722;2023050806;10;5.5;180;eor
722;2023050807;10;4.7;180;eor
722;2023050808;10;2.8;180;eor
722;2023050809;10;3.3;150;eor
722;2023050810;10;4.4;160;eor
722;2023050811;10;4.8;170;eor
722;2023050812;10;5.6;160;eor
722;2023050813;10;6.4;160;eor
722;2023050814;10;6.1;150;eor
722;2023050815;10;6.2;150;eor
722;2023050816;10;6.2;150;eor
722;2023050817;10;6.9;140;eor
722;2023050818;10;8.0;150;eor
722;2023050819;10;8.7;160;eor
722;2023050820;10;9.0;160;eor
722;2023050821;10;9.7;160;eor
722;2023050822;10;9.6;170;eor
722;2023050823;10;9.7;170;eor
722;2023050900;10;9.5;180;eor
722;2023050901;10;9.2;200;eor
722;2023050902;10;8.9;200;eor
722;2023050903;10;6.5;200;eor
722;2023050904;10;5.2;210;eor
722;2023050905;10;5.6;190;eor
722;2023050906;10;6.6;170;eor
722;2023050907;10;7.3;170;eor
722;2023050908;10;7.3;170;eor
722;2023050909;10;8.9;170;eor
722;2023050910;10;9.2;170;eor
722;2023050911;10;8.9;170;eor
722;2023050912;10;9.4;170;eor
722;2023050913;10;9.5;170;eor
722;2023050914;10;9.8;170;eor
722;2023050915;10;9.3;160;eor
722;2023050916;10;8.6;150;eor
722;2023050917;10;10.2;140;eor
722;2023050918;10;10.5;150;eor
722;2023050919;10;11.8;150;eor
722;2023050920;10;12.9;160;eor
722;2023050921;10;13.1;160;eor
722;2023050922;10;14.0;170;eor
722;2023050923;10;14.9;170;eor
722;2023051000;10;14.7;180;eor
722;2023051001;10;14.7;190;eor
722;2023051002;10;14.0;200;eor
722;2023051003;10;12.4;200;eor
722;2023051004;10;11.6;200;eor
722;2023051005;10;10.8;200;eor
722;2023051006;10;9.0;200;eor
722;2023051007;10;8.7;210;eor
722;2023051008;10;8.4;250;eor
722;2023051009;10;7.9;250;eor
722;2023051010;10;8.7;260;eor
722;2023051011;10;7.2;260;eor
722;2023051012;10;6.0;260;eor
722;2023051013;10;6.0;260;eor
722;2023051014;10;4.9;260;eor
722;2023051015;10;3.2;280;eor
722;2023051016;10;2.1;270;eor
722;2023051017;10;3.0;270;eor
722;2023051018;10;3.6;280;eor
722;2023051019;10;3.4;280;eor
722;2023051020;10;4.0;290;eor
722;2023051021;10;2.7;300;eor
722;2023051022;10;1.3;340;eor
722;2023051023;10;2.1;340;eor
722;2023051100;10;1.3;20;eor
722;2023051101;10;1.1;70;eor
722;2023051102;10;1.4;90;eor
722;2023051103;10;3.2;70;eor
722;2023051104;10;3.4;70;eor
722;2023051105;10;4.2;70;eor
722;2023051106;10;3.9;50;eor
722;2023051107;10;4.3;60;eor
722;2023051108;10;4.4;50;eor
722;2023051109;10;3.7;40;eor
722;2023051110;10;2.9;60;eor
722;2023051111;10;4.4;90;eor
722;2023051112;10;5.9;100;eor
722;2023051113;10;6.2;110;eor
722;2023051114;10;6.6;110;eor
722;2023051115;10;6.9;120;eor
722;2023051116;10;7.8;110;eor
722;2023051117;10;9.3;160;eor
722;2023051118;10;9.1;160;eor
722;2023051119;10;9.3;160;eor
722;2023051120;10;10.0;160;eor
722;2023051121;10;9.4;150;eor
722;2023051122;10;7.9;150;eor
722;2023051123;10;7.2;140;eor
722;2023051200;10;7.2;110;eor
722;2023051201;10;5.1;140;eor
722;2023051202;10;5.9;120;eor
722;2023051203;10;6.5;100;eor
722;2023051204;10;8.2;110;eor
722;2023051205;10;8.6;100;eor
722;2023051206;10;9.2;90;eor
722;2023051207;10;9.9;90;eor
722;2023051208;10;10.1;90;eor
722;2023051209;10;11.0;90;eor
722;2023051210;10;10.5;90;eor
722;2023051211;10;9.9;80;eor
722;2023051212;10;10.2;70;eor
722;2023051213;10;9.6;50;eor
722;2023051214;10;8.2;60;eor
722;2023051215;10;9.1;60;eor
722;2023051216;10;8.5;60;eor
722;2023051217;10;8.2;60;eor
722;2023051218;10;8.8;50;eor
722;2023051219;10;9.0;50;eor
722;2023051220;10;9.4;60;eor
722;2023051221;10;10.2;70;eor
722;2023051222;10;-999.0;80;eor
722;2023051301;10;-999.0;110;eor
722;2023051302;10;6.2;120;eor
722;2023051303;10;5.7;110;eor
722;2023051304;10;5.8;100;eor
722;2023051305;10;5.2;90;eor
722;2023051306;10;5.9;80;eor
722;2023051307;10;7.2;80;eor
722;2023051308;10;7.3;70;eor
722;2023051309;10;7.1;80;eor
722;2023051310;10;8.3;100;eor
722;2023051311;10;8.2;90;eor
722;2023051312;10;8.0;60;eor
722;2023051313;10;8.5;50;eor
722;2023051314;10;8.4;60;eor
722;2023051315;10;7.1;70;eor
722;2023051316;10;7.3;70;eor
722;2023051317;10;7.5;70;eor
722;2023051318;10;6.5;100;eor
722;2023051319;10;5.4;120;eor
722;2023051320;10;7.6;120;eor
722;2023051321;10;8.9;120;eor
722;2023051322;10;8.6;130;eor
722;2023051323;10;8.5;140;eor
722;2023051400;10;8.7;140;eor
722;2023051401;10;8.0;130;eor
722;2023051402;10;7.9;120;eor
722;2023051403;10;7.0;120;eor
722;2023051404;10;7.3;110;eor
722;2023051405;10;7.4;110;eor
722;2023051406;10;7.4;100;eor
722;2023051407;10;7.1;110;eor
722;2023051408;10;6.9;110;eor
722;2023051409;10;7.2;100;eor
722;2023051410;10;6.1;80;eor
722;2023051411;10;4.7;70;eor
722;2023051412;10;4.2;70;eor
722;2023051413;10;4.9;50;eor
722;2023051414;10;6.2;50;eor
722;2023051415;10;7.5;50;eor
722;2023051416;10;7.2;50;eor
722;2023051417;10;7.2;50;eor
722;2023051418;10;6.9;60;eor
722;2023051419;10;5.6;60;eor
722;2023051420;10;5.1;50;eor
722;2023051421;10;3.8;50;eor
722;2023051422;10;3.2;40;eor
722;2023051423;10;2.9;30;eor
722;2023051500;10;4.2;10;eor
722;2023051501;10;4.4;360;eor
722;2023051502;10;6.6;10;eor
722;2023051503;10;6.9;10;eor
722;2023051504;10;6.8;10;eor
722;2023051505;10;7.7;10;eor
722;2023051506;10;8.1;10;eor
722;2023051507;10;7.7;360;eor
722;2023051508;10;7.7;350;eor
722;2023051509;10;8.0;340;eor
722;2023051510;10;7.4;340;eor
722;2023051511;10;7.1;340;eor
722;2023051512;10;8.2;340;eor
722;2023051513;10;8.0;330;eor
722;2023051514;10;9.1;340;eor
722;2023051515;10;8.0;320;eor
722;2023051516;10;7.2;300;eor
722;2023051517;10;8.4;280;eor
722;2023051518;10;7.4;290;eor
722;2023051519;10;9.2;310;eor
722;2023051520;10;10.4;330;eor
722;2023051521;10;11.1;320;eor
722;2023051522;10;11.7;320;eor
722;2023051523;10;10.1;320;eor
722;2023051600;10;8.3;310;eor
722;2023051601;10;8.2;300;eor
722;2023051602;10;9.7;300;eor
722;2023051603;10;10.7;300;eor
722;2023051604;10;10.5;310;eor
722;2023051605;10;11.6;320;eor
722;2023051606;10;12.3;320;eor
722;2023051607;10;11.5;330;eor
722;2023051608;10;12.1;320;eor
722;2023051609;10;12.8;320;eor
722;2023051610;10;10.2;320;eor
722;2023051611;10;9.6;320;eor
722;2023051612;10;9.9;320;eor
722;2023051613;10;9.8;320;eor
722;2023051614;10;8.2;320;eor
722;2023051615;10;7.8;320;eor
722;2023051616;10;8.4;320;eor
722;2023051617;10;7.2;310;eor
722;2023051618;10;8.5;310;eor
722;2023051619;10;9.7;320;eor
722;2023051620;10;13.9;320;eor
722;2023051621;10;12.2;320;eor
722;2023051622;10;9.7;330;eor
722;2023051623;10;10.6;320;eor
722;2023051700;10;9.5;310;eor
722;2023051701;10;10.4;310;eor
722;2023051702;10;9.1;320;eor
722;2023051703;10;9.9;320;eor
722;2023051704;10;11.3;320;eor
722;2023051705;10;10.5;320;eor
722;2023051706;10;12.1;320;eor
722;2023051707;10;11.1;330;eor
722;2023051708;10;11.3;330;eor
722;2023051709;10;10.1;330;eor
722;2023051710;10;10.3;330;eor
722;2023051711;10;10.6;330;eor
722;2023051712;10;8.8;330;eor
722;2023051713;10;9.4;340;eor
722;2023051714;10;9.2;330;eor
722;2023051715;10;9.0;340;eor
722;2023051716;10;8.4;340;eor
722;2023051717;10;8.4;350;eor
722;2023051718;10;8.1;350;eor
722;2023051719;10;8.2;340;eor
722;2023051720;10;8.3;340;eor
722;2023051721;10;7.7;330;eor
722;2023051722;10;7.4;350;eor
722;2023051723;10;6.3;360;eor
722;2023051800;10;3.7;10;eor
722;2023051801;10;1.7;70;eor
722;2023051802;10;2.8;90;eor
722;2023051803;10;3.2;90;eor
722;2023051804;10;3.0;100;eor
722;2023051805;10;2.9;110;eor
722;2023051806;10;3.5;100;eor
722;2023051807;10;3.5;110;eor
722;2023051808;10;3.0;150;eor
722;2023051809;10;2.5;160;eor
722;2023051810;10;3.3;120;eor
722;2023051811;10;3.8;60;eor
722;2023051812;10;4.3;50;eor
722;2023051813;10;5.0;50;eor
722;2023051814;10;5.1;60;eor
722;2023051815;10;5.6;70;eor
